1,Bousquet,Henri,adelaide67@laposte.net,$2y$10$fbwEZWe0IhPMaiAN.w0P4uWMJBcxzy8G7CRtS7FqJlhTDWxpbFswW,administrateur
2,Maillet,Roger,vferrand@yahoo.fr,$2y$10$fbwEZWe0IhPMaiAN.w0P4uWMJBcxzy8G7CRtS7FqJlhTDWxpbFswW,editeur
3,Maillot,Éric,julien.bernard@legoff.fr,$2y$10$fbwEZWe0IhPMaiAN.w0P4uWMJBcxzy8G7CRtS7FqJlhTDWxpbFswW,editeur
4,Remy,Alexandre,benoit.ferrand@guillou.fr,$2y$10$fbwEZWe0IhPMaiAN.w0P4uWMJBcxzy8G7CRtS7FqJlhTDWxpbFswW,lecteur
5,"Le Gall",Émile,kferreira@yahoo.fr,$2y$10$fbwEZWe0IhPMaiAN.w0P4uWMJBcxzy8G7CRtS7FqJlhTDWxpbFswW,lecteur
6,Lemaire,Dorothée,grichard@club-internet.fr,$2y$10$fbwEZWe0IhPMaiAN.w0P4uWMJBcxzy8G7CRtS7FqJlhTDWxpbFswW,lecteur
7,Pelletier,Claudine,edouard98@chauvet.com,$2y$10$fbwEZWe0IhPMaiAN.w0P4uWMJBcxzy8G7CRtS7FqJlhTDWxpbFswW,lecteur
8,Leconte,Vincent,sauvage.olivier@buisson.com,$2y$10$fbwEZWe0IhPMaiAN.w0P4uWMJBcxzy8G7CRtS7FqJlhTDWxpbFswW,editeur
9,Lacombe,Catherine,martinez.theodore@nguyen.fr,$2y$10$fbwEZWe0IhPMaiAN.w0P4uWMJBcxzy8G7CRtS7FqJlhTDWxpbFswW,editeur
10,Pruvost,Théophile,clemence13@gimenez.com,$2y$10$fbwEZWe0IhPMaiAN.w0P4uWMJBcxzy8G7CRtS7FqJlhTDWxpbFswW,lecteur
11,Sanchez,Denis,dsanchez@campus-eni.fr,$2y$10$fbwEZWe0IhPMaiAN.w0P4uWMJBcxzy8G7CRtS7FqJlhTDWxpbFswW,administrateur
